ratio,k,precision@k,recall@k,hit_rate@k
ratio_0_1_percent,1,0.0342,0.00022,0.0342
ratio_0_1_percent,3,0.03291,0.00063,0.09572
ratio_0_1_percent,5,0.0338,0.00108,0.15737
ratio_0_1_percent,10,0.03323,0.00212,0.28394
ratio_0_5_percent,1,0.0342,0.00022,0.0342
ratio_0_5_percent,3,0.03291,0.00063,0.09572
ratio_0_5_percent,5,0.0338,0.00108,0.15737
ratio_0_5_percent,10,0.03323,0.00212,0.28394
ratio_1_0_percent,1,0.0342,0.00022,0.0342
ratio_1_0_percent,3,0.03291,0.00063,0.09572
ratio_1_0_percent,5,0.0338,0.00108,0.15737
ratio_1_0_percent,10,0.03323,0.00212,0.28394
ratio_1_5_percent,1,0.0342,0.00022,0.0342
ratio_1_5_percent,3,0.03291,0.00063,0.09572
ratio_1_5_percent,5,0.0338,0.00108,0.15737
ratio_1_5_percent,10,0.03323,0.00212,0.28394
ratio_2_0_percent,1,0.0342,0.00022,0.0342
ratio_2_0_percent,3,0.03291,0.00063,0.09572
ratio_2_0_percent,5,0.0338,0.00108,0.15737
ratio_2_0_percent,10,0.03323,0.00212,0.28394
ratio_2_5_percent,1,0.0342,0.00022,0.0342
ratio_2_5_percent,3,0.03291,0.00063,0.09572
ratio_2_5_percent,5,0.0338,0.00108,0.15737
ratio_2_5_percent,10,0.03323,0.00212,0.28394
ratio_3_0_percent,1,0.03519,0.00022,0.03519
ratio_3_0_percent,3,0.03497,0.00067,0.10169
ratio_3_0_percent,5,0.03537,0.00113,0.16426
ratio_3_0_percent,10,0.03517,0.00224,0.29865
