ratio,k,custom_precision@k,num_queries,num_target_docs,num_pool_docs
ratio_0_1_percent,1,3.571429,15232,157,5446
ratio_0_1_percent,3,3.437938,15232,157,5446
ratio_0_1_percent,5,3.453256,15232,157,5446
ratio_0_1_percent,10,3.40927,15232,157,5446
ratio_0_5_percent,1,3.571429,15232,157,5446
ratio_0_5_percent,3,3.437938,15232,157,5446
ratio_0_5_percent,5,3.453256,15232,157,5446
ratio_0_5_percent,10,3.40927,15232,157,5446
ratio_1_0_percent,1,3.571429,15232,157,5446
ratio_1_0_percent,3,3.437938,15232,157,5446
ratio_1_0_percent,5,3.453256,15232,157,5446
ratio_1_0_percent,10,3.40927,15232,157,5446
ratio_1_5_percent,1,3.571429,15232,157,5446
ratio_1_5_percent,3,3.437938,15232,157,5446
ratio_1_5_percent,5,3.453256,15232,157,5446
ratio_1_5_percent,10,3.40927,15232,157,5446
ratio_2_0_percent,1,3.571429,15232,157,5446
ratio_2_0_percent,3,3.437938,15232,157,5446
ratio_2_0_percent,5,3.453256,15232,157,5446
ratio_2_0_percent,10,3.40927,15232,157,5446
ratio_2_5_percent,1,3.571429,15232,157,5446
ratio_2_5_percent,3,3.437938,15232,157,5446
ratio_2_5_percent,5,3.453256,15232,157,5446
ratio_2_5_percent,10,3.40927,15232,157,5446
ratio_3_0_percent,1,3.702731,15232,157,5233
ratio_3_0_percent,3,3.641457,15232,157,5233
ratio_3_0_percent,5,3.629202,15232,157,5233
ratio_3_0_percent,10,3.573398,15232,157,5233
